sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1,med1
2,29.0,6,2,1,1,0,2,7,3,2,2,CVP,2,0
2,25.0,2,2,1,1,0,2,7,4,4,2,SP,2,0
1,36.0,6,2,1,1,0,4,0,2,2,2,CVP,2,0
1,21.0,3,2,4,2,0,2,3,3,3,2,EVP,2,0
1,45.0,3,2,4,2,0,4,6,2,2,2,SVP,2,0
2,53.0,6,2,4,2,0,2,5,3,2,2,FDP,2,0
2,31.0,7,2,4,2,0,2,6,4,4,2,FDP,2,0
1,88.0,6,2,1,1,0,4,0,3,1,2,CVP,2,0
2,59.0,6,2,1,1,0,2,5,1,1,2,SP,2,0
2,52.0,6,2,1,1,0,2,6,4,1,2,CVP,2,0
2,72.0,6,2,2,1,0,8,7,1,0,2,SP,2,0
1,48.0,3,2,1,1,0,4,0,2,2,2,SP,2,0
2,68.0,6,2,1,1,0,2,5,3,2,2,FDP,2,0
2,38.0,6,2,4,1,0,2,7,3,2,2,SP,2,0
2,46.0,3,2,4,1,0,2,7,2,1,2,SP,2,0
1,30.0,4,2,1,1,0,2,3,2,3,2,CVP,2,0
1,51.0,6,2,4,1,0,2,5,3,3,2,FDP,2,0
1,67.0,6,2,4,1,0,4,6,4,4,2,FDP,2,0
2,66.0,6,2,4,1,0,2,2,3,1,2,FDP,2,0
2,48.0,6,2,4,1,0,2,1,3,1,2,SVP,2,0
1,57.0,6,2,1,1,0,2,7,1,3,2,SP,2,0
2,30.0,6,2,4,1,0,2,5,3,2,2,SP,2,0
2,64.0,6,2,4,1,0,2,5,1,3,2,SP,2,0
2,54.0,6,2,4,1,0,2,7,2,3,2,SP,2,0
1,28.0,4,2,2,1,0,2,3,3,4,2,SP,2,0
1,48.0,6,2,4,2,0,4,0,1,0,2,SVP,2,0
1,32.0,6,2,4,2,0,4,0,3,1,2,SVP,2,0
1,0.0,6,2,4,2,0,8,5,2,3,2,SVP,1,0
1,50.0,6,2,4,2,0,2,2,2,2,2,SVP,2,0
2,50.0,6,2,4,2,0,2,2,4,4,2,FDP,2,0
2,65.0,6,2,4,2,0,8,2,2,1,2,SP,2,0
2,54.0,6,2,4,2,0,2,6,4,3,2,FDP,2,0
2,61.0,6,2,4,2,0,2,2,4,1,2,SVP,2,0
2,65.0,6,2,4,2,0,8,7,4,1,2,FDP,2,0
2,51.0,6,2,4,2,0,2,5,3,1,2,SP,2,0
2,68.0,6,2,4,2,0,8,2,4,1,2,SP,2,0
1,41.0,3,2,4,2,0,4,6,4,4,2,SP,1,0
1,56.0,6,2,4,2,0,4,0,3,1,2,SP,2,0
1,55.0,6,2,1,2,0,4,6,2,1,2,SP,2,0
2,73.0,6,2,1,1,0,8,7,2,4,2,SP,0,0
2,55.0,6,2,1,1,0,2,5,4,3,2,FDP,0,0
2,41.0,4,2,2,1,0,2,6,1,1,2,PdA,2,0
2,60.0,6,2,4,1,0,2,5,2,2,2,FDP,2,0
2,40.0,7,2,4,1,0,2,2,3,3,2,FDP,2,0
1,32.0,7,2,4,1,0,10,0,3,3,2,FDP,2,0
1,40.0,3,2,4,1,0,4,2,2,3,2,FDP,2,0
1,50.0,6,2,4,1,0,10,7,3,1,2,FDP,2,0
2,60.0,6,2,4,1,0,2,7,3,1,2,SP,2,0
2,24.0,6,2,4,1,0,2,4,4,1,2,FDP,2,0
1,69.0,3,2,4,1,0,8,0,3,2,2,FDP,2,0
1,36.0,3,2,4,1,0,2,3,3,2,2,FDP,2,0
1,50.0,6,2,1,1,0,4,0,3,2,2,SP,2,0
1,48.0,3,2,2,1,0,4,6,2,2,2,FDP,2,0
2,21.0,3,2,4,2,0,2,1,3,3,2,FDP,1,0
2,47.0,3,2,4,1,0,2,1,4,2,2,FDP,2,0
1,29.0,6,2,4,2,0,4,0,3,1,2,SVP,2,0
1,39.0,6,2,4,2,0,4,2,2,4,2,FDP,2,0
1,48.0,6,2,4,2,0,2,2,2,2,2,SVP,2,0
1,30.0,6,2,4,2,0,2,5,3,1,2,SVP,2,0
2,59.0,6,2,4,2,0,2,7,4,3,2,SP,2,0
2,58.0,6,2,4,2,0,2,6,3,1,2,FDP,1,0
2,54.0,6,2,4,2,0,2,5,1,1,2,SP,2,0
2,50.0,2,2,4,2,0,2,1,3,2,2,SVP,2,0
2,61.0,6,2,4,2,0,2,7,3,1,2,SVP,2,0
2,58.0,6,2,4,2,0,2,6,3,4,2,SVP,2,0
1,30.0,2,2,4,2,0,2,6,3,3,2,FDP,2,0
2,22.0,6,2,4,2,0,3,1,2,2,2,SVP,2,0
1,73.0,6,2,4,2,0,8,4,2,1,2,SVP,1,0
2,36.0,6,2,4,2,0,2,7,2,2,2,SVP,2,0
1,42.0,6,2,4,2,0,4,0,2,4,2,SVP,2,0
1,39.0,4,2,4,2,0,2,6,2,3,2,SVP,2,0
1,39.0,3,2,4,2,0,2,3,3,3,2,FDP,1,0
2,37.0,2,2,4,2,0,2,6,2,1,2,SVP,1,0
1,41.0,6,2,4,2,0,2,1,2,4,2,FDP,2,0
1,47.0,6,2,4,2,0,4,1,3,0,2,SVP,2,0
1,63.0,2,2,4,2,0,4,7,2,3,2,SP,2,0
2,45.0,6,2,4,2,0,2,1,2,1,2,SVP,1,0
2,57.0,2,2,4,2,0,2,6,4,1,2,SVP,2,0
2,48.0,6,2,4,2,0,2,2,4,1,2,SP,2,0
2,78.0,6,2,4,2,0,8,1,3,2,2,SVP,1,0
2,75.0,6,2,4,2,0,8,1,1,1,2,SVP,1,0
2,75.0,6,2,4,2,0,8,1,3,2,2,SP,2,0
1,35.0,6,2,4,2,0,4,4,1,4,2,EVP,2,0
1,27.0,3,2,1,2,0,4,4,3,3,2,FDP,1,0
1,36.0,2,2,4,2,0,3,1,2,2,2,SVP,2,0
1,68.0,2,2,4,2,0,8,4,2,2,2,SVP,2,0
1,31.0,6,2,4,2,0,2,5,1,2,2,FDP,2,0
2,61.0,6,2,4,2,0,2,5,2,2,2,SP,2,0
2,38.0,2,2,4,2,0,2,6,2,3,2,SVP,2,0
2,33.0,6,2,4,1,0,2,1,3,1,2,SP,0,0
2,31.0,6,2,1,1,0,2,7,3,4,2,SP,0,0
2,48.0,3,2,4,1,0,2,6,3,2,2,FDP,0,0
1,28.0,6,2,4,1,0,4,6,3,3,2,FDP,0,0
1,54.0,6,2,1,1,0,2,3,1,1,2,SP,0,0
2,65.0,3,2,1,2,0,8,6,3,4,2,CVP,2,0
2,34.0,6,2,4,2,0,2,7,3,3,2,FDP,2,0
2,41.0,6,2,4,2,0,2,7,3,3,2,SP,2,0
2,29.0,3,2,4,2,0,2,7,2,3,2,FDP,2,0
2,50.0,2,2,4,2,0,2,7,3,4,2,SP,2,0
1,35.0,6,2,4,2,0,2,3,2,4,2,SVP,2,0
