sex,age,educ,income,religion,sg1,sg9,sc1,sc7b,pi1,pm3,vp1,vdn1b,pid1
0,38.0,3,2,1,2,0,4,6,3,2,1,FDP,2
1,40.0,2,2,1,2,0,2,6,3,1,1,SP,2
1,61.0,6,2,1,2,0,2,1,3,3,1,CVP,2
0,51.0,2,2,1,2,0,2,5,3,1,1,SP,2
1,55.0,2,2,4,2,0,2,6,4,3,1,FDP,2
1,36.0,4,2,4,2,0,2,2,4,3,1,SVP,2
1,26.0,6,2,4,2,0,2,7,2,3,1,SVP,2
1,42.0,2,2,4,2,0,2,7,2,2,1,SP,2
1,73.0,2,2,4,2,0,8,4,2,1,1,FDP,2
1,45.0,2,2,4,2,0,2,7,4,3,1,SP,2
1,72.0,2,2,4,2,0,8,7,2,1,1,SP,2
1,65.0,7,2,4,2,0,2,2,3,2,1,EVP,2
1,49.0,6,2,4,2,0,2,6,4,3,1,SP,2
1,44.0,3,2,4,2,0,2,6,2,1,1,FDP,2
1,35.0,4,2,4,2,0,2,6,2,0,1,SVP,1
1,58.0,7,2,4,2,0,2,6,4,2,1,FDP,2
0,24.0,3,2,4,2,0,2,3,2,2,1,FDP,2
0,30.0,3,2,4,2,0,2,6,2,3,1,SVP,2
1,56.0,6,2,4,2,0,2,4,2,2,1,SP,2
0,68.0,2,2,4,2,0,4,0,4,2,1,FDP,2
0,46.0,2,2,1,2,0,4,7,3,2,1,FDP,1
